-3.875975e+09 + i 9.347585e+08 ; -1.690927e+07 + i 2.217666e+06 ; -1.691186e+07 + i 2.219680e+06 ; 8.319710e+08 + i -3.689332e+08 ; 6.670809e+07 + i -2.117495e+07 ; 6.669876e+07 + i -2.117750e+07 ; -3.996173e+08 + i 1.699233e+08 ; -3.616314e+07 + i 1.094682e+07 ; -7.862549e+06 + i 2.487503e+06 ; -1.834914e+08 + i 4.089701e+07 ; 1.954789e+08 + i -9.349005e+07 ; 1.023897e+07 + i -6.318437e+06 ; -3.996105e+08 + i 1.699261e+08 ; -7.866073e+06 + i 2.482453e+06 ; -3.616570e+07 + i 1.094466e+07 ; -1.834837e+08 + i 4.090319e+07 ; 1.028743e+07 + i -6.307212e+06 ; 1.954810e+08 + i -9.348943e+07 ; -2.273624e+07 + i 3.489797e+07 ; -1.520215e+07 + i 6.335209e+06 ; -1.518460e+07 + i 6.339416e+06 ; -1.891890e+07 + i 2.452500e+07 ; 4.018112e+07 + i -2.522098e+07 ; 4.018259e+07 + i -2.522150e+07 ; 8.368576e+07 + i -2.956162e+07 ; -1.032563e+06 + i -2.673975e+05 ; -1.031658e+06 + i -2.673507e+05 ; 4.464156e+07 + i -1.351191e+07 ; -6.187358e+05 + i 1.816475e+05 ; -6.187411e+05 + i 1.817452e+05 ; 1.464973e+07 + i -1.229606e+07 ; 4.812055e+06 + i -3.977022e+06 ; -1.178587e+06 + i 7.430350e+04 ; 1.176799e+07 + i -8.301445e+06 ; 9.085685e+05 + i -8.039746e+05 ; -5.846867e+05 + i 1.994541e+05 ; 1.465439e+07 + i -1.229434e+07 ; -1.174236e+06 + i 7.493614e+04 ; 4.812387e+06 + i -3.976921e+06 ; 1.176974e+07 + i -8.300436e+06 ; -5.839544e+05 + i 1.993497e+05 ; 9.084740e+05 + i -8.040041e+05 ; 2.147287e+05 + i -3.531961e+06 ; 2.985925e+06 + i -2.561679e+06 ; 2.985091e+06 + i -2.561911e+06 ; 2.500108e+06 + i -3.699685e+06 ; 6.685350e+05 + i -6.135892e+05 ; 6.685414e+05 + i -6.135527e+05 ; 
1.477233e+06 + i 1.935080e+05 ; 7.043761e+05 + i -3.423695e+05 ; -2.338656e+06 + i 1.599889e+06 ; 2.784583e+06 + i -1.517260e+05 ; 2.558800e+06 + i -9.672151e+05 ; -5.087814e+06 + i 3.976816e+06 ; 9.406587e+05 + i 5.705682e+05 ; 5.379571e+05 + i -2.583149e+05 ; -3.035854e+06 + i 1.893512e+06 ; 2.028098e+06 + i 4.517546e+05 ; 1.746670e+06 + i -6.066295e+05 ; -6.085610e+06 + i 5.466412e+06 ; -1.205049e+07 + i 4.521433e+06 ; 8.536121e+04 + i 9.123002e+04 ; -2.123895e+06 + i 1.467290e+06 ; -1.977466e+07 + i 8.264521e+06 ; -1.222609e+06 + i 9.009349e+05 ; -4.870457e+06 + i 3.705248e+06 ; -1.934862e+07 + i 5.656314e+06 ; 5.200496e+05 + i -1.531841e+05 ; -2.673150e+06 + i 1.725370e+06 ; -3.489507e+07 + i 1.204659e+07 ; 9.833530e+05 + i -2.712096e+05 ; -6.641628e+06 + i 5.355520e+06 ; 1.689770e+07 + i -6.336407e+06 ; 1.725256e+07 + i -6.604309e+06 ; -2.337807e+07 + i 3.536531e+07 ; 8.262362e+06 + i -2.373480e+06 ; 4.167229e+07 + i -1.080806e+07 ; -4.022691e+08 + i 1.705393e+08 ; 4.120854e+07 + i -1.050445e+07 ; 8.538475e+06 + i -2.557683e+06 ; -4.018152e+08 + i 1.702862e+08 ; 1.870879e+07 + i -1.554672e+06 ; 1.915598e+07 + i -1.769843e+06 ; -3.880332e+09 + i 9.352818e+08 ; -4.815964e+07 + i 2.797366e+07 ; -4.570863e+07 + i 2.736583e+07 ; -1.982181e+07 + i 2.528200e+07 ; -1.122659e+07 + i 7.372995e+06 ; -2.272279e+08 + i 9.797741e+07 ; -1.867439e+08 + i 4.230164e+07 ; -2.308753e+08 + i 9.862013e+07 ; -9.916160e+06 + i 7.080963e+06 ; -1.862736e+08 + i 4.206179e+07 ; -7.940094e+07 + i 2.142126e+07 ; -7.740090e+07 + i 2.114235e+07 ; 8.246407e+08 + i -3.672565e+08 ; 
1.455396e+07 + i -1.232247e+07 ; 2.700243e+05 + i 4.164192e+05 ; 3.045062e+06 + i -3.611637e+06 ; 1.627847e+07 + i -1.677785e+07 ; -7.655643e+06 + i 3.608696e+06 ; 6.320267e+07 + i -2.898231e+07 ; 1.774914e+05 + i -3.535590e+06 ; -2.585643e+06 + i 2.361850e+06 ; 2.851405e+06 + i -2.495005e+06 ; -5.850687e+06 + i -1.071673e+06 ; -2.517846e+07 + i 1.393475e+07 ; 2.759460e+07 + i -1.443656e+07 ; 8.372776e+07 + i -2.954036e+07 ; 4.799721e+05 + i 9.202927e+05 ; -3.395927e+05 + i -9.727235e+05 ; 1.645838e+08 + i -7.022086e+07 ; -1.965861e+07 + i 6.755043e+06 ; 2.174661e+07 + i -6.740927e+06 ; 1.464405e+07 + i -1.229736e+07 ; -2.728053e+06 + i 3.396507e+06 ; -2.011309e+05 + i -4.505092e+05 ; 1.617384e+07 + i -1.680524e+07 ; -5.776269e+07 + i 2.813859e+07 ; 8.532917e+06 + i -3.678410e+06 ; -3.969490e+08 + i 1.680681e+08 ; -6.416771e+06 + i 2.024512e+06 ; 3.573636e+07 + i -1.042303e+07 ; -1.839484e+08 + i 4.089868e+07 ; 1.034292e+07 + i -6.702851e+06 ; -2.200628e+08 + i 9.793037e+07 ; -2.215986e+07 + i 3.418960e+07 ; -1.330947e+07 + i 5.601522e+06 ; 1.447275e+07 + i -5.702172e+06 ; -1.896233e+07 + i 2.456631e+07 ; 4.186048e+07 + i -2.592964e+07 ; -4.557140e+07 + i 2.704870e+07 ; -3.866426e+09 + i 9.314747e+08 ; -1.545217e+07 + i 1.654612e+06 ; 1.602063e+07 + i -1.652654e+06 ; 8.318171e+08 + i -3.689746e+08 ; 6.891095e+07 + i -2.156166e+07 ; -7.356110e+07 + i 2.194640e+07 ; -3.965975e+08 + i 1.682312e+08 ; -3.443671e+07 + i 1.005164e+07 ; 6.892121e+06 + i -2.012013e+06 ; -1.837350e+08 + i 4.094755e+07 ; 2.019737e+08 + i -9.498156e+07 ; -1.140966e+07 + i 6.926903e+06 ; 
6.370830e+06 + i -2.084515e+06 ; -5.008007e+06 + i 3.988500e+06 ; 1.707222e+06 + i -8.329414e+05 ; 8.718071e+06 + i -3.399931e+06 ; -3.247162e+07 + i 1.844045e+07 ; 7.546969e+06 + i -2.358997e+06 ; -1.518814e+07 + i 7.448350e+06 ; -4.880964e+06 + i 3.700499e+06 ; -1.074056e+05 + i 6.127789e+05 ; -2.604682e+07 + i 1.402680e+07 ; -2.426991e+07 + i 1.250388e+07 ; -1.529435e+07 + i 7.941318e+06 ; 9.489869e+06 + i -2.325184e+06 ; -5.938868e+06 + i 5.513210e+06 ; 1.187574e+06 + i -5.337472e+05 ; 1.443336e+07 + i -4.723492e+06 ; -7.724187e+07 + i 3.365297e+07 ; 4.457747e+06 + i -1.037738e+06 ; -3.006989e+07 + i 1.242988e+07 ; -6.651598e+06 + i 5.347642e+06 ; 8.696062e+05 + i -1.193494e+05 ; -5.710968e+07 + i 2.828787e+07 ; -5.052077e+07 + i 1.734355e+07 ; -2.909623e+06 + i 1.146887e+06 ; -8.079790e+06 + i 2.707961e+06 ; -3.987210e+08 + i 1.694883e+08 ; 3.745022e+07 + i -1.130949e+07 ; -1.598296e+07 + i 6.607953e+06 ; -2.337232e+07 + i 3.532192e+07 ; 1.694101e+07 + i -6.465961e+06 ; 7.134066e+06 + i -5.349233e+06 ; -1.841576e+08 + i 4.141316e+07 ; -2.189705e+08 + i 9.760325e+07 ; 4.005461e+07 + i -2.520578e+07 ; -1.991827e+07 + i 2.528539e+07 ; -4.541902e+07 + i 2.681883e+07 ; -1.700827e+07 + i 2.471460e+06 ; -3.875949e+09 + i 9.342024e+08 ; 1.760107e+07 + i -2.210332e+06 ; -3.652439e+07 + i 1.101646e+07 ; -4.013197e+08 + i 1.704160e+08 ; 8.685214e+06 + i -2.463983e+06 ; 6.292756e+07 + i -1.957510e+07 ; 8.281010e+08 + i -3.681616e+08 ; -7.172750e+07 + i 2.160915e+07 ; 1.994110e+08 + i -9.419956e+07 ; -1.863223e+08 + i 4.206264e+07 ; -1.126771e+07 + i 6.711910e+06 ; 
3.000290e+07 + i -1.242008e+07 ; 8.528741e+05 + i -1.163963e+05 ; -6.506819e+06 + i 5.387702e+06 ; 5.688611e+07 + i -2.830622e+07 ; -2.584788e+06 + i 1.134902e+06 ; -5.032087e+07 + i 1.739187e+07 ; 1.519890e+07 + i -7.431324e+06 ; -6.158093e+04 + i 5.743652e+05 ; -4.805350e+06 + i 3.713972e+06 ; 2.592636e+07 + i -1.402948e+07 ; -1.392982e+07 + i 7.674580e+06 ; -2.419927e+07 + i 1.251763e+07 ; -9.609250e+06 + i 2.294565e+06 ; 1.072356e+06 + i -5.253323e+05 ; -6.042826e+06 + i 5.478329e+06 ; -1.488052e+07 + i 4.630924e+06 ; 4.075648e+06 + i -1.064481e+06 ; -7.735778e+07 + i 3.361165e+07 ; -6.425406e+06 + i 2.078193e+06 ; 1.559067e+06 + i -8.060286e+05 ; -5.082076e+06 + i 3.971678e+06 ; -8.933057e+06 + i 3.376636e+06 ; 6.918626e+06 + i -2.340557e+06 ; -3.252148e+07 + i 1.842175e+07 ; -6.132516e+07 + i 1.990518e+07 ; -6.575795e+07 + i 2.156737e+07 ; 8.285914e+08 + i -3.680481e+08 ; -1.995567e+08 + i 9.433161e+07 ; -1.047482e+07 + i 6.431872e+06 ; -1.864336e+08 + i 4.202735e+07 ; -7.271257e+06 + i 5.249381e+06 ; -2.009526e+08 + i 9.474921e+07 ; -1.840623e+08 + i 4.143332e+07 ; -3.989452e+07 + i 2.523573e+07 ; -4.150460e+07 + i 2.575534e+07 ; -1.987650e+07 + i 2.530367e+07 ; 1.691586e+07 + i -2.650502e+06 ; 1.667548e+07 + i -2.334185e+06 ; -3.875920e+09 + i 9.342172e+08 ; 3.474123e+07 + i -1.141333e+07 ; 7.874721e+06 + i -2.506355e+06 ; -4.012150e+08 + i 1.703995e+08 ; 7.808633e+06 + i -2.727957e+06 ; 3.430095e+07 + i -1.131661e+07 ; -3.982208e+08 + i 1.695922e+08 ; 1.567919e+07 + i -6.583954e+06 ; 1.548440e+07 + i -6.355372e+06 ; -2.334447e+07 + i 3.527554e+07 ; 
1.171100e+07 + i -8.314740e+06 ; 6.249015e+05 + i -2.082786e+05 ; 9.344988e+05 + i -8.541564e+05 ; 1.468111e+07 + i -1.227473e+07 ; 1.286872e+06 + i -6.856318e+04 ; 5.435286e+06 + i -4.272791e+06 ; 2.467356e+06 + i -3.701854e+06 ; -7.061459e+05 + i 6.319535e+05 ; 7.173757e+05 + i -6.498844e+05 ; 1.981749e+05 + i -3.529218e+06 ; -3.148047e+06 + i 2.643811e+06 ; 3.403785e+06 + i -2.755645e+06 ; 4.465648e+07 + i -1.349822e+07 ; 6.643647e+05 + i -1.919331e+05 ; -1.113615e+06 + i 1.128136e+05 ; 8.380283e+07 + i -2.951572e+07 ; 1.136315e+06 + i 2.846027e+05 ; -1.975545e+06 + i -4.462318e+05 ; 1.176128e+07 + i -8.301895e+06 ; -9.571581e+05 + i 8.271804e+05 ; -8.763522e+05 + i 1.924250e+05 ; 1.467150e+07 + i -1.229347e+07 ; -5.076677e+06 + i 4.102882e+06 ; -1.714382e+06 + i 2.120520e+04 ; -1.852747e+08 + i 4.073608e+07 ; -1.029079e+07 + i 6.573413e+06 ; 2.268090e+08 + i -9.786456e+07 ; -3.996191e+08 + i 1.699014e+08 ; 8.174404e+06 + i -2.523287e+06 ; -3.171199e+07 + i 1.149775e+07 ; -1.902629e+07 + i 2.462673e+07 ; -4.237320e+07 + i 2.592325e+07 ; 4.670557e+07 + i -2.691678e+07 ; -2.268265e+07 + i 3.491184e+07 ; 1.604107e+07 + i -6.447800e+06 ; -1.715146e+07 + i 6.367660e+06 ; 8.316032e+08 + i -3.690014e+08 ; -6.970211e+07 + i 2.120799e+07 ; 6.703850e+07 + i -2.177679e+07 ; -3.876095e+09 + i 9.347006e+08 ; 1.751680e+07 + i -2.144088e+06 ; -1.919601e+07 + i 1.820944e+06 ; -1.836293e+08 + i 4.098392e+07 ; -2.061045e+08 + i 9.546626e+07 ; 1.110808e+07 + i -6.587496e+06 ; -3.998154e+08 + i 1.699035e+08 ; 3.764815e+07 + i -1.085550e+07 ; -9.094888e+06 + i 2.404185e+06 ; 
1.450265e+06 + i 1.969162e+05 ; -2.337463e+06 + i 1.599927e+06 ; 7.129284e+05 + i -3.419166e+05 ; 2.741070e+06 + i -1.454669e+05 ; -5.084020e+06 + i 3.976648e+06 ; 2.582125e+06 + i -9.655991e+05 ; -1.212136e+07 + i 4.509702e+06 ; -2.127836e+06 + i 1.468163e+06 ; 1.121902e+05 + i 9.806903e+04 ; -1.992379e+07 + i 8.240662e+06 ; -4.874095e+06 + i 3.708603e+06 ; -1.152087e+06 + i 9.194096e+05 ; 9.041584e+05 + i 5.738466e+05 ; -3.034898e+06 + i 1.893147e+06 ; 5.414394e+05 + i -2.582547e+05 ; 1.958653e+06 + i 4.593415e+05 ; -6.083867e+06 + i 5.465322e+06 ; 1.755290e+06 + i -6.055404e+05 ; -1.938874e+07 + i 5.673380e+06 ; -2.677939e+06 + i 1.726072e+06 ; 5.322287e+05 + i -1.522781e+05 ; -3.495335e+07 + i 1.207945e+07 ; -6.647681e+06 + i 5.357871e+06 ; 1.010980e+06 + i -2.629838e+05 ; 1.714390e+07 + i -6.234744e+06 ; -2.334612e+07 + i 3.536747e+07 ; 1.756405e+07 + i -6.429645e+06 ; 8.375849e+06 + i -2.293572e+06 ; -4.021911e+08 + i 1.705603e+08 ; 3.893397e+07 + i -1.117674e+07 ; -4.926611e+07 + i 2.770562e+07 ; -1.986874e+07 + i 2.530611e+07 ; -4.589466e+07 + i 2.723243e+07 ; -1.190032e+07 + i 7.117416e+06 ; -1.872107e+08 + i 4.224916e+07 ; -2.261391e+08 + i 9.826299e+07 ; 4.014000e+07 + i -1.043672e+07 ; -4.018450e+08 + i 1.703005e+08 ; 8.687345e+06 + i -2.435718e+06 ; 1.827673e+07 + i -1.634772e+06 ; -3.880405e+09 + i 9.352441e+08 ; 1.824499e+07 + i -2.024805e+06 ; -2.302982e+08 + i 9.894184e+07 ; -1.863421e+08 + i 4.210733e+07 ; -1.053985e+07 + i 6.812013e+06 ; -7.746183e+07 + i 2.157176e+07 ; 8.245085e+08 + i -3.673090e+08 ; -7.468538e+07 + i 2.149642e+07 ; 
1.954462e+07 + i -5.677091e+06 ; 4.217999e+05 + i -1.607488e+05 ; -2.814105e+06 + i 1.689904e+06 ; 3.520407e+07 + i -1.210923e+07 ; 8.578279e+05 + i -2.617846e+05 ; -6.915170e+06 + i 5.305709e+06 ; 1.223159e+07 + i -4.518089e+06 ; 3.562009e+04 + i 7.407152e+04 ; -2.205744e+06 + i 1.457371e+06 ; 2.005290e+07 + i -8.272826e+06 ; -1.138322e+06 + i 8.637405e+05 ; -5.012729e+06 + i 3.696762e+06 ; -5.020256e+05 + i -4.986300e+05 ; 5.149306e+05 + i -2.449184e+05 ; -3.000242e+06 + i 1.915071e+06 ; -1.250595e+06 + i -3.793037e+05 ; 1.655388e+06 + i -5.882446e+05 ; -6.007290e+06 + i 5.496679e+06 ; -1.220278e+06 + i -1.789305e+05 ; 6.605379e+05 + i -3.282070e+05 ; -2.320758e+06 + i 1.607679e+06 ; -2.392969e+06 + i 1.505909e+05 ; 2.379168e+06 + i -9.441575e+05 ; -5.057499e+06 + i 3.980412e+06 ; 2.310772e+08 + i -9.877469e+07 ; -1.107805e+07 + i 6.405744e+06 ; -1.881419e+08 + i 4.188085e+07 ; 6.898245e+07 + i -2.216519e+07 ; -6.759127e+07 + i 2.175363e+07 ; 8.242402e+08 + i -3.673494e+08 ; 4.917346e+07 + i -2.779502e+07 ; -4.263026e+07 + i 2.603605e+07 ; -1.995616e+07 + i 2.539366e+07 ; 1.275019e+07 + i -6.942254e+06 ; -2.060106e+08 + i 9.576244e+07 ; -1.871748e+08 + i 4.229991e+07 ; -3.100068e+07 + i 1.118255e+07 ; 8.029992e+06 + i -2.457716e+06 ; -4.010553e+08 + i 1.704210e+08 ; -1.870457e+07 + i 1.554018e+06 ; 1.712046e+07 + i -2.243629e+06 ; -3.879986e+09 + i 9.354093e+08 ; -1.658724e+07 + i 6.121185e+06 ; 1.620868e+07 + i -6.243581e+06 ; -2.326723e+07 + i 3.528290e+07 ; -8.160705e+06 + i 2.326737e+06 ; 3.533009e+07 + i -1.132062e+07 ; -4.016974e+08 + i 1.706315e+08 ; 
1.417434e+05 + i -3.537002e+06 ; 2.935196e+06 + i -2.536863e+06 ; 2.933687e+06 + i -2.537192e+06 ; -5.837491e+06 + i -1.068098e+06 ; 2.836970e+07 + i -1.459379e+07 ; 2.836771e+07 + i -1.459466e+07 ; 1.455567e+07 + i -1.232309e+07 ; -2.431443e+05 + i -4.652132e+05 ; 3.176278e+06 + i -3.688103e+06 ; 1.627073e+07 + i -1.677691e+07 ; 8.379561e+06 + i -3.746438e+06 ; 6.534322e+07 + i -2.921142e+07 ; 1.455670e+07 + i -1.232281e+07 ; 3.175385e+06 + i -3.688305e+06 ; -2.396151e+05 + i -4.651132e+05 ; 1.627274e+07 + i -1.677562e+07 ; 6.534321e+07 + i -2.921212e+07 ; 8.391632e+06 + i -3.742909e+06 ; 8.371304e+07 + i -2.955483e+07 ; -3.311604e+05 + i -1.005979e+06 ; -3.278365e+05 + i -1.005995e+06 ; 1.646189e+08 + i -7.020389e+07 ; 2.237155e+07 + i -6.764642e+06 ; 2.237446e+07 + i -6.762478e+06 ; -2.216284e+07 + i 3.423253e+07 ; 1.519563e+07 + i -5.613945e+06 ; 1.519853e+07 + i -5.613670e+06 ; -1.894278e+07 + i 2.457655e+07 ; -4.720224e+07 + i 2.728918e+07 ; -4.719480e+07 + i 2.729253e+07 ; -3.969300e+08 + i 1.681070e+08 ; 7.010474e+06 + i -1.990754e+06 ; 3.651731e+07 + i -1.032927e+07 ; -1.838467e+08 + i 4.091858e+07 ; -1.098507e+07 + i 6.895732e+06 ; -2.271552e+08 + i 9.870074e+07 ; -3.969198e+08 + i 1.681095e+08 ; 3.651474e+07 + i -1.033038e+07 ; 7.006706e+06 + i -1.988933e+06 ; -1.838412e+08 + i 4.092375e+07 ; -2.271510e+08 + i 9.870510e+07 ; -1.102568e+07 + i 6.884733e+06 ; -3.866723e+09 + i 9.313627e+08 ; 1.629891e+07 + i -1.587699e+06 ; 1.629066e+07 + i -1.585098e+06 ; 8.316526e+08 + i -3.689904e+08 ; -7.495641e+07 + i 2.192432e+07 ; -7.497464e+07 + i 2.191600e+07 ; 
1.554511e+07 + i -7.511279e+06 ; -4.788130e+06 + i 3.717255e+06 ; 1.180770e+05 + i -6.312840e+05 ; 2.662256e+07 + i -1.417407e+07 ; -2.425356e+07 + i 1.252272e+07 ; 1.582802e+07 + i -8.032798e+06 ; -6.521913e+06 + i 2.098678e+06 ; -5.068162e+06 + i 3.972229e+06 ; -1.779968e+06 + i 8.436087e+05 ; -9.002769e+06 + i 3.420483e+06 ; -3.247889e+07 + i 1.843098e+07 ; -7.880982e+06 + i 2.308015e+06 ; 3.073100e+07 + i -1.251802e+07 ; -6.504515e+06 + i 5.386111e+06 ; -8.841200e+05 + i 1.060605e+05 ; 5.830024e+07 + i -2.858117e+07 ; -5.036311e+07 + i 1.738044e+07 ; 3.097545e+06 + i -1.114684e+06 ; -9.778708e+06 + i 2.296652e+06 ; -6.022866e+06 + i 5.480997e+06 ; -1.232853e+06 + i 5.364514e+05 ; -1.508794e+07 + i 4.661210e+06 ; -7.731456e+07 + i 3.362160e+07 ; -4.601471e+06 + i 1.030800e+06 ; -7.475498e+06 + i 5.335985e+06 ; -1.855208e+08 + i 4.131720e+07 ; 2.275204e+08 + i -9.800940e+07 ; -4.101121e+07 + i 2.551577e+07 ; -2.004734e+07 + i 2.536848e+07 ; 4.718042e+07 + i -2.714329e+07 ; 8.183102e+06 + i -2.717595e+06 ; -3.981683e+08 + i 1.695854e+08 ; -3.162661e+07 + i 1.144855e+07 ; 1.651033e+07 + i -6.550119e+06 ; -2.329932e+07 + i 3.527839e+07 ; -1.713452e+07 + i 6.393524e+06 ; -6.313668e+07 + i 1.997528e+07 ; 8.278641e+08 + i -3.681910e+08 ; 6.691434e+07 + i -2.174338e+07 ; -2.044161e+08 + i 9.517581e+07 ; -1.865910e+08 + i 4.207690e+07 ; 1.127498e+07 + i -6.686581e+06 ; 1.737213e+07 + i -2.602216e+06 ; -3.875778e+09 + i 9.342595e+08 ; -1.917546e+07 + i 1.828427e+06 ; 3.600795e+07 + i -1.141978e+07 ; -4.011651e+08 + i 1.704146e+08 ; -8.958529e+06 + i 2.492313e+06 ; 
1.554868e+07 + i -7.511534e+06 ; 1.176943e+05 + i -6.314875e+05 ; -4.787371e+06 + i 3.717273e+06 ; 2.662429e+07 + i -1.417366e+07 ; 1.582743e+07 + i -8.033108e+06 ; -2.425509e+07 + i 1.252226e+07 ; 3.073065e+07 + i -1.251871e+07 ; -8.832897e+05 + i 1.062469e+05 ; -6.503153e+06 + i 5.385578e+06 ; 5.830002e+07 + i -2.858138e+07 ; 3.099484e+06 + i -1.114099e+06 ; -5.035061e+07 + i 1.738101e+07 ; -6.521133e+06 + i 2.098065e+06 ; -1.779923e+06 + i 8.435222e+05 ; -5.074785e+06 + i 3.971566e+06 ; -9.004975e+06 + i 3.420030e+06 ; -7.879231e+06 + i 2.308641e+06 ; -3.248123e+07 + i 1.843072e+07 ; -9.767305e+06 + i 2.298044e+06 ; -1.232795e+06 + i 5.364409e+05 ; -6.035812e+06 + i 5.479222e+06 ; -1.508161e+07 + i 4.662746e+06 ; -4.601507e+06 + i 1.030976e+06 ; -7.732906e+07 + i 3.361981e+07 ; -7.481907e+06 + i 5.339035e+06 ; 2.275211e+08 + i -9.800995e+07 ; -1.855229e+08 + i 4.131425e+07 ; -4.101204e+07 + i 2.551505e+07 ; 4.718109e+07 + i -2.714404e+07 ; -2.003989e+07 + i 2.536694e+07 ; -6.314980e+07 + i 1.997317e+07 ; 6.691989e+07 + i -2.174200e+07 ; 8.279519e+08 + i -3.681630e+08 ; -2.044147e+08 + i 9.517616e+07 ; 1.127843e+07 + i -6.685334e+06 ; -1.865566e+08 + i 4.207222e+07 ; 8.181387e+06 + i -2.714914e+06 ; -3.161291e+07 + i 1.145365e+07 ; -3.980178e+08 + i 1.696241e+08 ; 1.652435e+07 + i -6.546790e+06 ; -1.712812e+07 + i 6.394547e+06 ; -2.328715e+07 + i 3.526946e+07 ; 1.733973e+07 + i -2.605407e+06 ; -1.917632e+07 + i 1.828275e+06 ; -3.875750e+09 + i 9.342801e+08 ; 3.601237e+07 + i -1.141776e+07 ; -8.957628e+06 + i 2.492354e+06 ; -4.011401e+08 + i 1.704052e+08 ; 
2.443989e+06 + i -3.703309e+06 ; 7.660223e+05 + i -6.574955e+05 ; 7.658602e+05 + i -6.575573e+05 ; 1.940859e+05 + i -3.524373e+06 ; 3.537948e+06 + i -2.792626e+06 ; 3.536718e+06 + i -2.793310e+06 ; 1.171833e+07 + i -8.315699e+06 ; -8.286483e+05 + i 2.201542e+05 ; 9.908948e+05 + i -8.680732e+05 ; 1.468968e+07 + i -1.227306e+07 ; -1.641218e+06 + i 6.454133e+04 ; 5.652705e+06 + i -4.335956e+06 ; 1.171988e+07 + i -8.315051e+06 ; 9.903952e+05 + i -8.681548e+05 ; -8.287686e+05 + i 2.199900e+05 ; 1.469293e+07 + i -1.227119e+07 ; 5.652376e+06 + i -4.335876e+06 ; -1.637490e+06 + i 6.563927e+04 ; 4.466043e+07 + i -1.350459e+07 ; -1.083719e+06 + i 1.220449e+05 ; -1.085055e+06 + i 1.216489e+05 ; 8.382327e+07 + i -2.950200e+07 ; -1.915904e+06 + i -4.452031e+05 ; -1.917479e+06 + i -4.448679e+05 ; -1.909338e+07 + i 2.471336e+07 ; 4.791450e+07 + i -2.725158e+07 ; 4.790575e+07 + i -2.725516e+07 ; -2.256999e+07 + i 3.494158e+07 ; -1.906485e+07 + i 6.085954e+06 ; -1.906626e+07 + i 6.085886e+06 ; -1.851940e+08 + i 4.079596e+07 ; 1.157748e+07 + i -6.456214e+06 ; 2.335350e+08 + i -9.843723e+07 ; -3.995510e+08 + i 1.699187e+08 ; -9.024066e+06 + i 2.510966e+06 ; -3.321109e+07 + i 1.141213e+07 ; -1.851983e+08 + i 4.079803e+07 ; 2.335316e+08 + i -9.844178e+07 ; 1.161921e+07 + i -6.444505e+06 ; -3.995255e+08 + i 1.699261e+08 ; -3.321048e+07 + i 1.141161e+07 ; -9.018466e+06 + i 2.509914e+06 ; 8.308416e+08 + i -3.691637e+08 ; 6.900057e+07 + i -2.175817e+07 ; 6.901882e+07 + i -2.175010e+07 ; -3.876026e+09 + i 9.347272e+08 ; -1.960915e+07 + i 1.743527e+06 ; -1.959842e+07 + i 1.742689e+06 ; 
1.251269e+07 + i -4.527548e+06 ; -2.194690e+06 + i 1.460864e+06 ; -1.289556e+05 + i -9.937902e+04 ; 2.054895e+07 + i -8.296061e+06 ; -4.986645e+06 + i 3.706379e+06 ; 1.145701e+06 + i -9.400812e+05 ; -1.353983e+06 + i -2.216765e+05 ; -2.313459e+06 + i 1.609333e+06 ; -7.447993e+05 + i 3.447594e+05 ; -2.652692e+06 + i 9.161897e+04 ; -5.034214e+06 + i 3.985576e+06 ; -2.687970e+06 + i 9.687708e+05 ; 2.005656e+07 + i -5.643581e+06 ; -2.807417e+06 + i 1.693687e+06 ; -6.040190e+05 + i 1.360941e+05 ; 3.613915e+07 + i -1.209219e+07 ; -6.902689e+06 + i 5.314100e+06 ; -1.197172e+06 + i 2.174596e+05 ; -5.781003e+05 + i -5.265940e+05 ; -2.996160e+06 + i 1.915073e+06 ; -5.782627e+05 + i 2.589769e+05 ; -1.393520e+06 + i -4.109957e+05 ; -5.995770e+06 + i 5.497804e+06 ; -1.853454e+06 + i 6.005939e+05 ; 5.063455e+07 + i -2.800573e+07 ; -2.008209e+07 + i 2.545434e+07 ; 4.815831e+07 + i -2.740916e+07 ; 1.305728e+07 + i -6.819452e+06 ; -1.885537e+08 + i 4.219084e+07 ; 2.338156e+08 + i -9.861194e+07 ; -1.851973e+07 + i 5.784567e+06 ; -2.318036e+07 + i 3.531016e+07 ; -1.893260e+07 + i 6.050718e+06 ; -8.585801e+06 + i 2.292161e+06 ; -4.016050e+08 + i 1.706374e+08 ; -3.318671e+07 + i 1.139360e+07 ; 2.374288e+08 + i -9.924096e+07 ; -1.881400e+08 + i 4.194236e+07 ; 1.174712e+07 + i -6.534860e+06 ; 7.130035e+07 + i -2.214569e+07 ; 8.235838e+08 + i -3.674817e+08 ; 6.914773e+07 + i -2.184408e+07 ; -3.272003e+07 + i 1.113449e+07 ; -4.009856e+08 + i 1.704499e+08 ; -8.879036e+06 + i 2.476794e+06 ; -1.901955e+07 + i 1.507231e+06 ; -3.879874e+09 + i 9.354370e+08 ; -1.955398e+07 + i 1.719004e+06 ; 
